Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
941.0,1849.9999999999993,LEXUS,Other,2008,Jeep,1,Hybrid,3.5,364523.0000000002,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0
18826.000000000004,531.0000000000001,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,112645.00000000004,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
20698.000000000007,586.0000000000002,TOYOTA,Prius,2012,Sedan,1,Other,1.8,187000.00000000012,4.0,Automatic,Front,4-5,Left wheel,White,12,0
17561.999999999996,1248.9999999999995,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,39709.00000000004,4.0,Automatic,Front,4-5,Left wheel,Black,12,0
7840.0000000000055,1337.6842105263163,FORD,Other,2001,Other,0,Diesel,2.0,230000.0000000001,4.0,Manual,Front,2-3,Left wheel,White,0,1
20385.00000000001,1315.166666666667,MERCEDES-BENZ,Other,2006,Sedan,1,Diesel,2.2,210000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Black,8,1
14454.00000000001,583.0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.6,158786.99999999994,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
12073.999999999998,1536.9999999999993,TOYOTA,Other,2009,Jeep,1,Hybrid,3.3,420550.0000000001,6.0,Automatic,4x4,4-5,Left wheel,Blue,12,0
15681.000000000011,1287.9999999999995,MERCEDES-BENZ,Other,2007,Other,0,Diesel,2.0,180000.00000000003,6.0,Manual,Rear,4-5,Left wheel,White,4,1
19444.000000000015,914.9999999999997,Other,Other,2014,Jeep,1,Diesel,3.0,175055.9999999999,6.0,Automatic,4x4,4-5,Left wheel,White,12,0
6898.999999999999,1085.7939914163092,BMW,X5,2000,Jeep,1,Other,4.4,199999.99999999997,8.0,Automatic,4x4,4-5,Left wheel,Silver,6,0
24462.0,1129.0526315789477,Other,Other,2007,Jeep,1,Diesel,3.0,249999.9999999998,6.0,Tiptronic,4x4,4-5,Left wheel,Black,10,1
23234.99999999998,706.9999999999999,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,2.0,162000.00000000012,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
7526.999999999999,1486.0,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,157999.99999999997,4.0,Automatic,Front,4-5,Right-hand drive,Black,4,0
19121.000000000015,531.0000000000001,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,103490.00000000009,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
24462.0,751.0000000000001,TOYOTA,Camry,2013,Sedan,1,Petrol,2.4,203200.0000000001,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0
45734.000000000015,1091.0000000000002,HYUNDAI,H1,2016,Other,1,Diesel,2.5,61057.000000000015,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
21326.00000000002,381.9999999999999,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,2.4,140999.99999999994,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0
15681.000000000011,503.00000000000006,TOYOTA,Other,2012,Hatchback,0,Hybrid,1.5,127999.99999999997,4.0,Variator,Front,4-5,Left wheel,Other,8,0
55389.99999999997,1016.9999999999999,HYUNDAI,Santa FE,2017,Jeep,1,Diesel,2.0,100733.99999999991,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
12544.000000000007,749.991967871486,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500.0000000001,4.0,Automatic,Front,4-5,Right-hand drive,Black,8,0
17249.000000000015,1185.0000000000005,FORD,Other,2008,Jeep,0,Hybrid,2.3,146999.99999999988,4.0,Variator,4x4,4-5,Left wheel,White,8,0
34888.999999999985,891.0000000000002,HONDA,Other,2016,Sedan,1,Petrol,2.0,87768.00000000003,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0
861.9999999999998,1103.9999999999998,Other,Other,2015,Jeep,1,Petrol,3.0,264013.9999999998,6.0,Automatic,4x4,4-5,Left wheel,Black,0,0
38499.99999999997,638.9999999999999,Other,Other,2014,Jeep,1,Petrol,2.0,86999.99999999994,1.0,Tiptronic,4x4,4-5,Left wheel,White,12,0
8780.999999999995,1365.8333333333328,MERCEDES-BENZ,Other,2001,Coupe,0,Petrol,2.0,259999.9999999998,4.0,Manual,Rear,2-3,Left wheel,Blue,0,0
1411.0,629.0000000000001,NISSAN,Other,2015,Jeep,1,Petrol,1.6,87111.99999999996,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0
23521.000000000022,781.0000000000001,CHEVROLET,Other,2018,Sedan,0,Petrol,1.4,21999.999999999993,4.0,Automatic,Front,4-5,Left wheel,Other,6,1
16935.00000000001,530.0,FORD,Other,2013,Sedan,0,Petrol,1.6,83000.0,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,1
7213.000000000005,530.0,NISSAN,Other,2013,Jeep,1,Petrol,1.6,312117.99999999994,4.0,Automatic,Front,4-5,Left wheel,Black,0,0
20525.99999999999,639.9999999999999,HYUNDAI,Tucson,2013,Jeep,1,Diesel,2.0,200279.00000000006,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
9721.999999999996,764.9999999999998,HYUNDAI,Sonata,2015,Sedan,1,Other,2.0,719846.9999999994,4.0,Automatic,Front,4-5,Left wheel,Other,4,0
34657.0,776.9999999999998,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,154671.99999999997,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
36564.00000000001,1091.0000000000002,HYUNDAI,H1,2016,Minivan,1,Diesel,2.5,110968.99999999999,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
5487.999999999996,939.8823529411762,TOYOTA,Other,2001,Hatchback,0,Petrol,1.5,210000.0,4.0,Manual,Front,4-5,Right-hand drive,Other,3,0
30063.000000000025,934.0000000000003,HYUNDAI,H1,2015,Other,1,Diesel,2.5,148105.00000000006,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
15800.00000000001,768.9999999999997,CHEVROLET,Other,2011,Jeep,1,Diesel,2.2,255455.99999999983,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
43951.99999999997,1248.9999999999995,HYUNDAI,H1,2017,Other,1,Diesel,2.5,111642.99999999997,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
53154.0,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,84506.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
14740.0,645.0,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,287999.9999999999,4.0,Automatic,Front,4-5,Left wheel,White,8,0
42337.00000000002,1538.117647058823,FORD,Other,2016,Other,1,Petrol,2.3,75000.00000000004,4.0,Tiptronic,Rear,2-3,Left wheel,Silver,6,1
3762.999999999999,1053.0000000000002,MERCEDES-BENZ,Other,2014,Jeep,1,Petrol,3.5,94362.00000000006,6.0,Automatic,Rear,4-5,Left wheel,White,12,0
18189.000000000015,643.1791730474732,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000.00000000012,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0
5644.999999999995,1324.0,TOYOTA,Other,2010,Jeep,1,Hybrid,3.3,264877.00000000023,6.0,Automatic,4x4,4-5,Left wheel,White,12,0
7526.999999999999,830.0000000000003,TOYOTA,Other,2019,Sedan,1,Petrol,1.5,27655.999999999978,4.0,Automatic,Front,4-5,Left wheel,White,12,0
21953.000000000007,1187.0000000000005,HONDA,Other,2014,Sedan,0,Hybrid,1.4,16000.000000000002,8.0,Automatic,4x4,4-5,Right-hand drive,White,10,0
21953.000000000007,781.0000000000001,TOYOTA,Camry,2012,Sedan,0,Petrol,2.5,195052.99999999985,4.0,Automatic,Front,4-5,Left wheel,Black,0,0
19121.000000000015,531.0000000000001,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,121362.00000000007,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
36064.999999999985,638.9999999999999,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,2.0,69190.99999999994,4.0,Automatic,Front,4-5,Left wheel,White,4,0
8780.999999999995,1111.0,HONDA,FIT,2012,Hatchback,1,Hybrid,1.3,83000.0,4.0,Tiptronic,Front,4-5,Right-hand drive,Other,12,0
6246.999999999997,760.0000000000002,CHEVROLET,Cruze,2010,Sedan,1,Petrol,1.8,40772.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
16288.99999999999,641.9999999999998,CHEVROLET,Other,2012,Jeep,1,Diesel,2.0,171999.99999999988,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
77775.00000000003,1604.0,MERCEDES-BENZ,Other,2014,Jeep,1,Petrol,5.5,433811.0,8.0,Automatic,4x4,4-5,Left wheel,Black,10,0
6981.000000000005,1095.0000000000005,Other,Other,2008,Sedan,1,Petrol,2.0,103245.99999999993,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
27284.000000000004,891.0000000000002,HYUNDAI,Elantra,2016,Sedan,0,Petrol,2.0,105394.00000000006,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0
15457.99999999999,965.9999999999999,HYUNDAI,Other,2009,Coupe,1,Petrol,2.0,123346.0,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
2901.0000000000005,473.00000000000017,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,80826.99999999999,4.0,Automatic,Front,4-5,Left wheel,Other,12,0
706.0000000000002,1137.9999999999998,Other,Other,2013,Coupe,1,Petrol,3.8,64464.00000000005,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0
15681.000000000011,1810.999999999999,LEXUS,Other,2010,Jeep,1,Petrol,4.6,275239.9999999998,8.0,Automatic,4x4,4-5,Left wheel,Silver,0,0
26656.999999999978,1428.0,MERCEDES-BENZ,Other,2004,Other,0,Diesel,2.2,299999.99999999977,4.0,Manual,Rear,4-5,Left wheel,White,1,1
10663.000000000007,988.0000000000003,TOYOTA,Prius,2007,Hatchback,0,Petrol,1.5,318399.99999999994,4.0,Automatic,Front,4-5,Left wheel,Silver,6,0
12857.999999999996,764.9999999999998,FORD,Other,2015,Sedan,0,Petrol,2.0,91199.99999999994,4.0,Automatic,Front,4-5,Left wheel,Other,10,0
1018.9999999999998,917.0000000000002,BMW,X5,2013,Jeep,1,Diesel,3.0,137801.99999999997,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0
12857.999999999996,439.75000000000017,Other,Other,2016,Hatchback,0,Petrol,1.2,107000.00000000003,4.0,Manual,Front,4-5,Left wheel,Silver,2,0
14999.99999999999,816.8636363636367,BMW,Other,2008,Sedan,1,Other,3.0,210408.0000000001,6.0,Tiptronic,Rear,4-5,Left wheel,White,12,0
85552.99999999993,1156.0000000000002,FORD,Other,2017,Jeep,1,Petrol,2.3,100566.99999999997,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
44751.99999999999,1091.0000000000002,HYUNDAI,H1,2016,Other,1,Diesel,2.5,86000.00000000001,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
17158.0,686.9999999999999,HYUNDAI,Elantra,2010,Sedan,1,Petrol,1.6,122739.99999999997,4.0,Automatic,Front,4-5,Left wheel,White,4,0
25591.000000000022,639.9999999999999,Other,Other,2013,Jeep,1,Diesel,2.0,85703.99999999999,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
14897.000000000013,836.0000000000001,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,2.0,58962.00000000002,4.0,Automatic,Front,4-5,Left wheel,White,4,0
23521.000000000022,779.0000000000001,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,90000.00000000001,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0
1018.9999999999998,1536.9999999999993,TOYOTA,Other,2009,Sedan,1,Hybrid,3.3,318357.99999999994,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0
16935.00000000001,764.9999999999998,FORD,Other,2015,Sedan,1,Petrol,2.0,71453.99999999996,4.0,Automatic,Front,4-5,Left wheel,Black,0,0
11604.000000000005,638.9999999999999,HYUNDAI,Sonata,2014,Sedan,1,Other,2.0,346470.0000000001,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
51964.999999999985,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,59514.99999999998,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0
706.0000000000002,394.00000000000006,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,115312.00000000009,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0
9408.0,1008.9999999999995,MERCEDES-BENZ,Other,2000,Sedan,0,Diesel,2.2,111111.00000000006,4.0,Manual,Rear,4-5,Left wheel,Silver,4,1
13328.000000000011,1347.0,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,74443.99999999997,4.0,Automatic,Front,4-5,Left wheel,Other,4,0
17876.0,1790.6666666666674,NISSAN,Other,2012,Minivan,0,Petrol,2.0,143000.0000000001,4.0,Tiptronic,Front,4-5,Right-hand drive,White,12,0
20070.999999999996,961.9916666666668,TOYOTA,Other,2008,Jeep,0,Petrol,2.4,134999.99999999997,4.0,Automatic,4x4,4-5,Left wheel,Silver,8,0
22894.000000000015,861.9999999999998,HYUNDAI,H1,2011,Minivan,1,Diesel,2.5,124444.00000000006,4.0,Automatic,Front,4-5,Left wheel,Other,4,0
2901.0000000000005,503.00000000000006,HONDA,Other,2012,Sedan,1,Hybrid,1.5,146403.00000000012,4.0,Automatic,Front,4-5,Left wheel,White,0,0
39829.000000000015,1810.999999999999,LEXUS,Other,2010,Jeep,1,Petrol,4.6,155821.00000000003,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0
706.0000000000002,1646.0000000000002,LEXUS,Other,2015,Jeep,1,Petrol,4.6,102906.99999999994,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0
18660.000000000015,795.2855750487331,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000.00000000009,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0
22580.000000000004,1016.9999999999999,MERCEDES-BENZ,Other,2017,Sedan,1,Petrol,2.0,50929.99999999999,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0
11604.000000000005,638.9999999999999,HYUNDAI,Sonata,2014,Sedan,1,Other,2.0,264872.0000000001,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
5487.999999999996,751.0000000000001,Other,Other,2013,Jeep,1,Petrol,2.4,138957.99999999997,4.0,Automatic,Front,4-5,Left wheel,Black,12,0
18817.0,609.0000000000002,TOYOTA,Camry,2018,Sedan,1,Hybrid,2.5,35058.00000000003,4.0,Automatic,Front,4-5,Left wheel,White,12,0
21168.999999999993,697.0,HONDA,Other,2015,Jeep,0,Petrol,1.8,33329.99999999998,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,0
9095.000000000005,521.0000000000002,Other,Other,2011,Coupe,0,Petrol,1.2,140999.99999999994,4.0,Automatic,Front,2-3,Right-hand drive,Other,4,0
1567.9999999999995,638.9999999999999,VOLKSWAGEN,Other,2014,Sedan,1,Diesel,2.0,82392.00000000003,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0
17876.0,584.9999999999998,HYUNDAI,Other,2013,Sedan,1,Petrol,1.8,117920.00000000001,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0
11289.999999999995,891.0000000000002,HYUNDAI,Sonata,2016,Sedan,1,Other,2.0,279786.9999999999,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
36064.999999999985,1398.9999999999998,TOYOTA,Other,2010,Minivan,1,Petrol,3.5,227199.9999999998,6.0,Tiptronic,Front,4-5,Left wheel,White,16,0
861.9999999999998,394.00000000000006,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,130477.99999999994,4.0,Automatic,Front,4-5,Left wheel,White,12,0
21395.000000000004,781.0000000000001,HYUNDAI,H1,2012,Other,1,Diesel,2.5,166143.9999999999,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
15681.000000000011,891.0000000000002,HYUNDAI,Sonata,2016,Sedan,1,Other,2.0,258705.99999999983,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
626.9999999999999,475.00000000000017,CHEVROLET,Other,2012,Jeep,1,Hybrid,1.4,188419.0000000001,4.0,Automatic,Front,4-5,Left wheel,Other,0,0
40070.00000000001,690.0000000000002,TOYOTA,Aqua,2016,Hatchback,1,Petrol,1.5,25806.999999999993,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
11917.000000000007,1917.0000000000007,MERCEDES-BENZ,Other,2008,Hatchback,0,Petrol,1.7,180000.00000000003,4.0,Automatic,Front,4-5,Left wheel,Other,8,0
72130.00000000006,1079.0000000000005,LEXUS,Other,2018,Jeep,1,Petrol,2.0,18917.999999999996,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,1
35927.00000000001,639.9999999999999,Other,Other,2013,Jeep,1,Diesel,2.0,137267.00000000006,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
21012.000000000007,308.0000000000001,TOYOTA,Prius,2014,Sedan,0,Hybrid,1.8,159999.99999999997,4.0,Automatic,4x4,4-5,Left wheel,White,4,0
21012.000000000007,1822.9999999999993,TOYOTA,Other,2018,Sedan,1,Petrol,3.5,27357.99999999998,6.0,Automatic,Front,4-5,Left wheel,Grey,12,0
13172.000000000005,1360.9999999999998,Other,Other,2009,Minivan,1,Diesel,2.9,84175.99999999996,4.0,Automatic,Front,4-5,Left wheel,White,6,0
15624.000000000013,706.9999999999999,HYUNDAI,Other,2011,Coupe,1,Petrol,2.0,107005.00000000009,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0
5487.999999999996,1273.0,Other,Other,2015,Jeep,1,Petrol,3.5,124154.00000000007,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0
20004.999999999985,531.0000000000001,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,104996.99999999993,4.0,Automatic,Front,4-5,Left wheel,White,4,0
36110.00000000001,923.9999999999998,VOLKSWAGEN,Other,2017,Sedan,1,Petrol,1.8,27728.000000000015,6.0,Tiptronic,Front,4-5,Left wheel,Silver,8,0
43879.99999999997,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,113699.99999999997,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
29479.000000000004,584.0000000000002,MERCEDES-BENZ,Other,2014,Sedan,1,Petrol,1.8,68999.99999999997,4.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,1
17249.000000000015,763.3300613496931,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000.00000000006,4.0,Variator,Front,4-5,Left wheel,White,12,0
44213.00000000001,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,50255.000000000044,4.0,Automatic,Front,4-5,Left wheel,Other,4,0
8467.000000000005,2078.0000000000005,BMW,Other,2001,Sedan,1,Petrol,2.5,252800.00000000017,6.0,Manual,Rear,4-5,Left wheel,Grey,6,0
626.9999999999999,914.9999999999997,Other,Other,2014,Sedan,1,Petrol,3.0,164488.00000000012,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0
21949.999999999993,831.0000000000001,FORD,Other,2011,Other,0,Diesel,2.4,124999.9999999999,4.0,Manual,4x4,4-5,Left wheel,White,2,1
706.0000000000002,475.00000000000017,Other,Other,2012,Hatchback,1,Petrol,1.4,164574.00000000003,4.0,Automatic,Front,4-5,Left wheel,Other,12,0
3136.0000000000014,473.00000000000017,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,156992.00000000006,4.0,Automatic,Front,4-5,Left wheel,Black,12,0
31499.999999999996,1415.0,NISSAN,Other,2010,Jeep,1,Other,4.0,90199.99999999996,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,0
56449.99999999997,778.0,TOYOTA,Other,2018,Sedan,1,Petrol,2.5,25000.000000000004,4.0,Tiptronic,Front,4-5,Left wheel,Blue,12,0
1489.9999999999993,638.9999999999999,VOLKSWAGEN,Other,2014,Other,1,Diesel,2.0,113214.00000000007,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0
626.9999999999999,836.0000000000001,TOYOTA,Other,2012,Sedan,1,Petrol,2.7,394069.0000000001,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0
13172.000000000005,968.8750000000002,HONDA,Other,2002,Jeep,0,Petrol,2.4,259999.9999999998,4.0,Automatic,4x4,4-5,Left wheel,Silver,6,0
4704.000000000003,917.0000000000002,Other,Other,2013,Hatchback,1,Petrol,3.0,301707.00000000006,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,0
706.0000000000002,751.0000000000001,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,175826.99999999985,4.0,Automatic,Front,4-5,Left wheel,Black,12,0
5801.999999999996,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,1,Diesel,3.5,107799.99999999991,6.0,Automatic,Rear,4-5,Left wheel,Grey,12,0
25716.0,776.9999999999998,TOYOTA,Camry,2014,Sedan,0,Petrol,2.5,115199.99999999997,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0
14426.000000000004,641.9999999999998,CHEVROLET,Other,2012,Jeep,1,Other,2.0,132036.0000000001,4.0,Automatic,Front,4-5,Left wheel,White,4,0
10820.0,961.9916666666668,TOYOTA,Other,2001,Jeep,0,Petrol,2.0,90999.99999999991,4.0,Automatic,4x4,2-3,Right-hand drive,Silver,4,0
45436.000000000015,1172.0000000000005,FORD,Other,2011,Jeep,1,Petrol,3.5,129176.99999999997,4.0,Automatic,Front,4-5,Left wheel,White,4,0
11917.000000000007,892.9999999999997,HYUNDAI,Other,2008,Hatchback,0,Diesel,1.6,200999.99999999997,4.0,Manual,Front,4-5,Left wheel,Black,8,0
41280.999999999985,764.9999999999998,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,2.0,185810.99999999994,4.0,Automatic,Front,4-5,Left wheel,Black,4,0
4391.000000000001,1023.7999999999997,NISSAN,Other,2000,Sedan,0,Petrol,2.4,358400.0000000002,4.0,Manual,Front,4-5,Left wheel,Other,2,0
3058.0,1871.9999999999998,Other,Other,2018,Sedan,1,Petrol,3.6,28968.0,6.0,Automatic,4x4,4-5,Left wheel,White,12,0
6585.999999999998,645.0,LEXUS,Other,2011,Hatchback,1,Hybrid,1.8,122302.00000000006,4.0,Automatic,Front,4-5,Left wheel,Black,0,0
12544.000000000007,643.1791730474732,TOYOTA,Prius,2007,Hatchback,0,Hybrid,1.5,139999.9999999999,4.0,Automatic,Front,4-5,Left wheel,Other,6,0
30063.000000000025,638.9999999999999,HYUNDAI,Tucson,2014,Jeep,1,Diesel,2.0,120000.00000000004,4.0,Automatic,Front,4-5,Left wheel,White,4,0
72130.00000000006,1885.0000000000005,Other,Other,2010,Hatchback,1,Petrol,4.8,196800.0000000001,8.0,Tiptronic,4x4,4-5,Left wheel,White,8,0
21639.0,598.4999999999999,HYUNDAI,Other,2015,Hatchback,0,Petrol,1.6,17199.999999999993,4.0,Tiptronic,Front,2-3,Left wheel,Other,10,0
12231.000000000002,1265.9999999999995,TOYOTA,Aqua,2014,Hatchback,0,Hybrid,1.5,66000.0,4.0,Variator,Front,4-5,Right-hand drive,Silver,4,0
3136.0000000000014,1785.6666666666663,TOYOTA,Other,2004,Sedan,0,Petrol,1.5,299999.99999999977,4.0,Variator,Front,4-5,Right-hand drive,Other,4,0
10663.000000000007,643.1791730474732,TOYOTA,Prius,2009,Sedan,1,Hybrid,1.8,230000.0000000001,4.0,Variator,Front,4-5,Left wheel,Grey,6,0
5620.000000000001,446.9999999999999,HONDA,FIT,2013,Hatchback,1,Petrol,1.3,110466.99999999991,4.0,Automatic,Front,4-5,Left wheel,White,4,0
19129.99999999999,2147.9999999999995,MERCEDES-BENZ,Other,2010,Sedan,1,Petrol,5.5,156999.99999999994,4.0,Automatic,Front,4-5,Left wheel,Grey,10,0
9408.0,1111.0,HONDA,FIT,2012,Hatchback,0,Hybrid,1.3,63999.99999999997,4.0,Variator,Front,4-5,Right-hand drive,Black,4,0
15366.999999999996,639.9999999999999,VOLKSWAGEN,Other,2013,Sedan,1,Diesel,2.0,179200.0000000001,4.0,Tiptronic,Front,4-5,Left wheel,White,16,1
5959.000000000003,1729.9999999999993,CHEVROLET,Other,2011,Sedan,1,Petrol,5.3,246975.99999999985,8.0,Automatic,Front,4-5,Left wheel,Black,12,0
26594.000000000004,776.9999999999998,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,179917.99999999988,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
36064.999999999985,779.0000000000001,TOYOTA,Other,2013,Sedan,1,Hybrid,2.5,92200.00000000001,4.0,Tiptronic,Front,4-5,Left wheel,Other,12,0
26342.99999999999,729.9999999999997,Other,Other,2016,Sedan,1,Diesel,1.6,28999.999999999996,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,1
6000.000000000005,1129.0526315789477,Other,Other,2000,Jeep,0,Petrol,4.0,240000.00000000003,6.0,Automatic,4x4,4-5,Left wheel,Other,5,0
