,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
35,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,162000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,23235
37,1486.0,Honda,2010,Hatchback,0,Hybrid,1.3,158000,4.0,Automatic,Front,4-5,Right-hand drive,Black,4,0,7527
38,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,103490,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,19121
40,751.0,Toyota,2013,Sedan,1,Petrol,2.4,203200,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,24462
41,1091.0,Hyundai,2016,Other,1,Diesel,2.5,61057,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,45734
42,650.0,Other,2016,Sedan,1,Petrol,1.4,11200,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,1,20165
43,382.0,Hyundai,2014,Sedan,1,Hybrid,2.4,141000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,21326
44,1436.0,Other,2010,Jeep,1,Petrol,3.6,160259,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,549
45,1194.0,Toyota,2013,Jeep,1,Petrol,4.0,239342,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,220
46,503.0,Toyota,2012,Hatchback,0,Hybrid,1.5,128000,4.0,Variator,Front,4-5,Left wheel,Other,8,0,15681
50,891.0,Honda,2016,Sedan,1,Petrol,2.0,87768,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,34889
51,1104.0,Other,2015,Jeep,1,Petrol,3.0,264014,6.0,Automatic,4x4,4-5,Left wheel,Black,0,0,862
53,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
54,639.0,Other,2014,Jeep,1,Petrol,2.0,87000,1.0,Tiptronic,4x4,4-5,Left wheel,White,12,0,38500
57,629.0,Other,2015,Jeep,1,Petrol,1.6,87112,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,1411
58,919.0,Bmw,2012,Sedan,1,Petrol,3.0,204318,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
59,781.0,Chevrolet,2018,Sedan,0,Petrol,1.4,22000,4.0,Automatic,Front,4-5,Left wheel,Other,6,1,23521
60,530.0,Ford,2013,Sedan,0,Petrol,1.6,83000,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,1,16935
62,530.0,Other,2013,Jeep,1,Petrol,1.6,312118,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,7213
64,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,200279,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,20526
66,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,154672,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,34657
67,1091.0,Hyundai,2016,Minivan,1,Diesel,2.5,110969,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,36564
68,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,225510,4.0,Automatic,Front,4-5,Left wheel,White,12,0,314
70,934.0,Hyundai,2015,Other,1,Diesel,2.5,148105,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,30063
71,769.0,Chevrolet,2011,Jeep,1,Diesel,2.2,255456,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15800
72,1249.0,Hyundai,2017,Other,1,Diesel,2.5,111643,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,43952
74,645.0,Toyota,2011,Hatchback,0,Hybrid,1.8,288000,4.0,Automatic,Front,4-5,Left wheel,White,8,0,14740
76,1053.0,Mercedes-Benz,2014,Jeep,1,Petrol,3.5,94362,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,3763
79,1185.0,Ford,2009,Jeep,1,Hybrid,2.5,193614,4.0,Automatic,Front,4-5,Left wheel,White,0,0,220
80,1324.0,Toyota,2010,Jeep,1,Hybrid,3.3,264877,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,5645
81,830.0,Toyota,2019,Sedan,1,Petrol,1.5,27656,4.0,Automatic,Front,4-5,Left wheel,White,12,0,7527
82,1187.0,Honda,2014,Sedan,0,Hybrid,1.4,16000,8.0,Automatic,4x4,4-5,Right-hand drive,White,10,0,21953
84,781.0,Toyota,2012,Sedan,0,Petrol,2.5,195053,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,21953
85,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,121362,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,19121
86,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,69191,4.0,Automatic,Front,4-5,Left wheel,White,4,0,36065
87,1111.0,Honda,2012,Hatchback,1,Hybrid,1.3,83000,4.0,Tiptronic,Front,4-5,Right-hand drive,Other,12,0,8781
88,760.0,Chevrolet,2010,Sedan,1,Petrol,1.8,40772,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6247
89,642.0,Chevrolet,2012,Jeep,1,Diesel,2.0,172000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,16289
92,781.0,Other,2012,Jeep,1,Petrol,2.5,148213,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,549
93,1095.0,Other,2008,Sedan,1,Petrol,2.0,103246,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6981
94,891.0,Hyundai,2016,Sedan,0,Petrol,2.0,105394,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0,27284
99,966.0,Hyundai,2009,Coupe,1,Petrol,2.0,123346,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,15458
100,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,80827,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,2901
101,1138.0,Other,2013,Coupe,1,Petrol,3.8,64464,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,706
102,382.0,Ford,2015,Sedan,1,Hybrid,2.0,91760,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,314
105,988.0,Toyota,2007,Hatchback,0,Petrol,1.5,318400,4.0,Automatic,Front,4-5,Left wheel,Silver,6,0,10663
106,765.0,Ford,2015,Sedan,0,Petrol,2.0,91200,4.0,Automatic,Front,4-5,Left wheel,Other,10,0,12858
107,917.0,Bmw,2013,Jeep,1,Diesel,3.0,137802,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,1019
108,917.0,Bmw,2013,Sedan,1,Hybrid,3.0,151586,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,549
112,1091.0,Hyundai,2016,Other,1,Diesel,2.5,86000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,44752
113,687.0,Hyundai,2010,Sedan,1,Petrol,1.6,122740,4.0,Automatic,Front,4-5,Left wheel,White,4,0,17158
118,640.0,Ssangyong,2013,Jeep,1,Diesel,2.0,85704,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,25591
119,836.0,Hyundai,2010,Jeep,1,Diesel,2.0,58962,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14897
120,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,90000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,23521
122,777.0,Other,2014,Sedan,1,Petrol,2.5,0,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,706
123,1537.0,Toyota,2009,Sedan,1,Hybrid,3.3,318358,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,1019
124,765.0,Ford,2015,Sedan,1,Petrol,2.0,71454,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,16935
125,781.0,Toyota,2012,Sedan,1,Petrol,2.5,0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,19444
128,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,115312,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,706
130,1347.0,Hyundai,2008,Minivan,1,Diesel,2.5,74444,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,13328
134,862.0,Hyundai,2011,Minivan,1,Diesel,2.5,124444,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,22894
135,503.0,Honda,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,0,2901
138,1646.0,Lexus,2015,Jeep,1,Petrol,4.6,102907,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,706
140,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,50930,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,22580
141,639.0,Hyundai,2014,Sedan,1,Other,2.0,264872,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11604
142,259.0,Chevrolet,2014,Hatchback,1,Hybrid,1.4,131893,4.0,Automatic,Front,4-5,Left wheel,Other,0,0,314
143,751.0,Other,2013,Jeep,1,Petrol,2.4,138958,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,5488
145,609.0,Toyota,2018,Sedan,1,Hybrid,2.5,35058,4.0,Automatic,Front,4-5,Left wheel,White,12,0,18817
146,697.0,Honda,2015,Jeep,0,Petrol,1.8,33330,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,0,21169
148,639.0,Other,2014,Sedan,1,Diesel,2.0,82392,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,1568
150,585.0,Hyundai,2013,Sedan,1,Petrol,1.8,117920,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0,17876
151,891.0,Hyundai,2016,Sedan,1,Other,2.0,279787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11290
152,1399.0,Toyota,2010,Minivan,1,Petrol,3.5,227200,6.0,Tiptronic,Front,4-5,Left wheel,White,16,0,36065
153,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,130478,4.0,Automatic,Front,4-5,Left wheel,White,12,0,862
154,781.0,Hyundai,2012,Other,1,Diesel,2.5,166144,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,21395
155,891.0,Hyundai,2016,Sedan,1,Other,2.0,258706,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15681
156,475.0,Chevrolet,2012,Jeep,1,Hybrid,1.4,188419,4.0,Automatic,Front,4-5,Left wheel,Other,0,0,627
157,690.0,Toyota,2016,Hatchback,1,Petrol,1.5,25807,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,40070
160,640.0,Ssangyong,2013,Jeep,1,Diesel,2.0,137267,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,35927
161,308.0,Toyota,2014,Sedan,0,Hybrid,1.8,160000,4.0,Automatic,4x4,4-5,Left wheel,White,4,0,21012
163,1361.0,Kia,2009,Minivan,1,Diesel,2.9,84176,4.0,Automatic,Front,4-5,Left wheel,White,6,0,13172
164,707.0,Hyundai,2011,Coupe,1,Petrol,2.0,107005,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,15624
166,1273.0,Other,2015,Jeep,1,Petrol,3.5,124154,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,5488
167,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,104997,4.0,Automatic,Front,4-5,Left wheel,White,4,0,20005
168,924.0,Other,2017,Sedan,1,Petrol,1.8,27728,6.0,Tiptronic,Front,4-5,Left wheel,Silver,8,0,36110
170,1077.0,Other,2019,Jeep,1,Petrol,2.0,11566,4.0,Automatic,4x4,4-5,Left wheel,Black,12,0,470
172,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,113700,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,43880
173,584.0,Mercedes-Benz,2014,Sedan,1,Petrol,1.8,69000,4.0,Tiptronic,Rear,4-5,Left wheel,Grey,8,1,29479
176,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,50255,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,44213
178,915.0,Other,2014,Sedan,1,Petrol,3.0,164488,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,627
179,831.0,Ford,2011,Other,0,Diesel,2.4,125000,4.0,Manual,4x4,4-5,Left wheel,White,2,1,21950
180,475.0,Other,2012,Hatchback,1,Petrol,1.4,164574,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,706
181,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,156992,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,3136
186,1053.0,Mercedes-Benz,2014,Sedan,1,Diesel,3.5,149486,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,314
190,639.0,Other,2014,Other,1,Diesel,2.0,113214,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,1490
192,1053.0,Mercedes-Benz,2014,Sedan,1,Diesel,3.5,149486,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,314
195,917.0,Other,2013,Hatchback,1,Petrol,3.0,301707,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,0,4704
196,751.0,Hyundai,2013,Sedan,1,Petrol,2.4,175827,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,706
197,1055.0,Mercedes-Benz,2013,Sedan,1,Diesel,3.5,107800,6.0,Automatic,Rear,4-5,Left wheel,Grey,12,0,5802
198,777.0,Toyota,2014,Sedan,0,Petrol,2.5,115200,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0,25716
199,642.0,Chevrolet,2012,Jeep,1,Other,2.0,132036,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14426
201,1172.0,Ford,2011,Jeep,1,Petrol,3.5,129177,4.0,Automatic,Front,4-5,Left wheel,White,4,0,45436
202,893.0,Hyundai,2008,Hatchback,0,Diesel,1.6,201000,4.0,Manual,Front,4-5,Left wheel,Black,8,0,11917
203,765.0,Hyundai,2015,Jeep,1,Diesel,2.0,185811,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,41281
208,645.0,Lexus,2011,Hatchback,1,Hybrid,1.8,122302,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,6586
210,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,120000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,30063
215,1266.0,Toyota,2014,Hatchback,0,Hybrid,1.5,66000,4.0,Variator,Front,4-5,Right-hand drive,Silver,4,0,12231
218,447.0,Honda,2013,Hatchback,1,Petrol,1.3,110467,4.0,Automatic,Front,4-5,Left wheel,White,4,0,5620
220,1111.0,Honda,2012,Hatchback,0,Hybrid,1.3,64000,4.0,Variator,Front,4-5,Right-hand drive,Black,4,0,9408
222,640.0,Other,2013,Sedan,1,Diesel,2.0,179200,4.0,Tiptronic,Front,4-5,Left wheel,White,16,1,15367
224,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,179918,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,26594
225,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,92200,4.0,Tiptronic,Front,4-5,Left wheel,Other,12,0,36065
226,730.0,Kia,2016,Sedan,1,Diesel,1.6,29000,4.0,Tiptronic,Front,4-5,Left wheel,Silver,8,1,26343
227,862.0,Other,2011,Sedan,1,Petrol,2.5,216550,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,549
230,585.0,Hyundai,2013,Sedan,0,Petrol,1.8,50000,4.0,Tiptronic,Front,4-5,Left wheel,Grey,10,0,14000
231,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,127842,4.0,Automatic,Front,4-5,Left wheel,White,4,0,17923
235,289.0,Ford,2008,Jeep,1,Hybrid,0.4,220474,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,282
236,640.0,Other,2013,Sedan,1,Diesel,2.0,132310,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,7527
237,1249.0,Toyota,2017,Sedan,1,Petrol,2.5,60762,4.0,Automatic,Front,4-5,Left wheel,White,12,0,3450
238,836.0,Hyundai,2010,Jeep,1,Diesel,2.0,142264,4.0,Automatic,Front,4-5,Left wheel,White,4,0,22063
239,503.0,Honda,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,0,2901
240,585.0,Toyota,2013,Sedan,1,Petrol,1.8,227371,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,4704
242,642.0,Other,2012,Sedan,1,Diesel,2.0,203440,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,941
243,502.0,Honda,2013,Hatchback,1,Petrol,1.5,70000,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,16900
246,1017.0,Mercedes-Benz,2017,Jeep,1,Petrol,2.0,44995,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,42651
247,586.0,Toyota,2012,Hatchback,0,Hybrid,1.8,122324,4.0,Automatic,Front,4-5,Left wheel,Other,7,0,15524
250,333.0,Ford,2014,Sedan,1,Hybrid,2.0,186048,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,862
251,831.0,Hyundai,2017,Sedan,1,Diesel,1.6,98000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,28909
254,639.0,Hyundai,2014,Sedan,1,Other,2.0,169024,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14426
255,1325.0,Other,2011,Minivan,0,Petrol,1.4,126000,4.0,Automatic,Front,4-5,Right-hand drive,Silver,6,0,9000
256,1053.0,Mercedes-Benz,2014,Sedan,1,Diesel,3.5,200179,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,30734
257,779.0,Toyota,2013,Sedan,1,Petrol,2.5,156666,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,22580
258,259.0,Chevrolet,2014,Jeep,1,Hybrid,1.4,133195,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,862
259,247.0,Honda,2014,Hatchback,1,Hybrid,1.3,114950,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,7464
260,1091.0,Ford,2016,Sedan,1,Petrol,2.5,154850,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,1333
264,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
267,1598.0,Mercedes-Benz,2008,Sedan,1,Diesel,3.0,175614,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,2430
268,333.0,Ford,2014,Sedan,1,Hybrid,2.0,0,4.0,Automatic,Front,4-5,Left wheel,Silver,0,0,282
269,629.0,Other,2015,Jeep,1,Petrol,1.6,85944,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,392
270,765.0,Mercedes-Benz,2015,Sedan,1,Petrol,2.0,0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,33556
271,831.0,Ssangyong,2017,Jeep,1,Diesel,1.6,73000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,39161
274,1514.0,Lexus,2011,Jeep,1,Petrol,4.6,160138,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,43278
275,1058.0,Hyundai,2012,Jeep,1,Petrol,3.5,197923,6.0,Automatic,4x4,4-5,Left wheel,Other,12,0,470
276,738.0,Chevrolet,2017,Sedan,0,Petrol,1.4,42000,4.0,Tiptronic,Front,>5,Left wheel,Black,12,1,20385
280,1055.0,Mercedes-Benz,2013,Sedan,1,Petrol,3.5,159250,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,220
284,707.0,Hyundai,2011,Coupe,1,Petrol,2.0,117492,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,15241
285,382.0,Ford,2015,Sedan,1,Hybrid,2.0,88795,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,2587
286,1347.0,Hyundai,2008,Minivan,1,Diesel,2.5,56769,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15524
288,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,136861,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,4861
290,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,95665,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,18208
291,481.0,Hyundai,2017,Sedan,1,Hybrid,2.0,107387,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,549
293,779.0,Toyota,2013,Jeep,0,Petrol,2.5,65350,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,34497
294,1522.0,Other,2000,Other,0,Petrol,1.8,130000,4.0,Manual,Front,4-5,Left wheel,Silver,0,0,6272
295,1282.0,Chevrolet,2007,Jeep,1,Diesel,2.0,183923,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,4924
297,1091.0,Hyundai,2016,Other,1,Diesel,2.5,97129,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,43576
299,1079.0,Toyota,2018,Jeep,0,Petrol,2.0,24000,4.0,Automatic,Front,4-5,Left wheel,Grey,8,0,28225
302,738.0,Chevrolet,2017,Hatchback,1,Petrol,1.4,29094,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,18817
303,382.0,Ford,2015,Sedan,1,Hybrid,2.0,148709,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,4861
304,1399.0,Lexus,2010,Jeep,1,Hybrid,3.5,186005,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,13172
305,1055.0,Mercedes-Benz,2013,Sedan,1,Petrol,3.5,156800,4.0,Tiptronic,4x4,4-5,Left wheel,Black,12,0,37320
306,1017.0,Ford,2017,Jeep,1,Petrol,2.0,251430,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,706
307,456.0,Toyota,2015,Sedan,1,Hybrid,2.5,35000,4.0,Automatic,Front,4-5,Left wheel,Grey,10,0,39201
308,880.0,Hyundai,2018,Sedan,1,Other,1.6,35643,4.0,Automatic,Front,4-5,Left wheel,White,4,0,36426
311,900.0,Honda,2015,Jeep,1,Petrol,2.4,117158,4.0,Automatic,Front,4-5,Left wheel,White,12,0,12701
312,781.0,Other,2012,Jeep,1,Petrol,2.5,281659,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,8154
313,456.0,Toyota,2015,Sedan,1,Hybrid,2.5,63645,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,46414
314,798.0,Mercedes-Benz,2015,Jeep,1,Diesel,2.1,197338,4.0,Automatic,4x4,4-5,Left wheel,White,12,0,45160
317,639.0,Other,2014,Hatchback,1,Petrol,2.0,136634,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,1176
319,988.0,Toyota,2007,Hatchback,1,Hybrid,1.5,140000,4.0,Variator,Front,4-5,Left wheel,Other,12,0,5802
320,1277.0,Hyundai,2018,Sedan,1,Petrol,2.4,45494,4.0,Automatic,Front,4-5,Left wheel,White,12,0,2901
321,442.0,Toyota,2017,Sedan,1,Hybrid,1.8,47672,4.0,Automatic,Front,4-5,Left wheel,White,12,0,1882
326,1051.0,Other,2016,Jeep,1,Petrol,2.4,39000,4.0,Variator,Front,4-5,Left wheel,Silver,12,0,36065
328,1091.0,Other,2016,Jeep,0,Petrol,2.5,34000,4.0,Variator,4x4,4-5,Left wheel,White,7,0,21639
329,790.0,Hyundai,2009,Hatchback,1,Petrol,1.6,140000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7840
331,289.0,Ford,2008,Jeep,1,Hybrid,0.4,220474,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,282
332,1292.0,Mercedes-Benz,2016,Jeep,1,Petrol,3.0,59099,6.0,Automatic,4x4,4-5,Left wheel,White,0,0,1646
333,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,124000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,24198
334,502.0,Honda,2013,Hatchback,1,Petrol,1.5,34682,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,25365
335,777.0,Chevrolet,2014,Sedan,1,Petrol,2.5,310061,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,1725
336,1399.0,Other,2010,Sedan,1,Petrol,3.5,162453,6.0,Automatic,Front,4-5,Left wheel,Silver,12,0,314
337,586.0,Toyota,2012,Sedan,0,Hybrid,1.8,22400,4.0,Automatic,Front,4-5,Left wheel,White,8,0,17249
338,1399.0,Mercedes-Benz,2010,Sedan,1,Petrol,3.5,229904,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,470
339,639.0,Hyundai,2014,Sedan,1,Petrol,2.0,62000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,1,31361
340,1047.0,Hyundai,2007,Sedan,1,Diesel,1.6,54279,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,4704
341,645.0,Chevrolet,2011,Sedan,1,Petrol,1.8,135759,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,12720
342,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,120534,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,26372
344,528.0,Hyundai,2014,Sedan,1,Petrol,1.6,140000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,25591
345,1211.0,Mercedes-Benz,2010,Sedan,1,Petrol,3.0,108517,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,6429
346,1493.0,Lexus,2016,Jeep,1,Petrol,3.5,107030,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,251
349,1077.0,Toyota,2019,Jeep,1,Petrol,2.0,24339,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,627
