Unnamed: 0,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
140,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,50930,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,22580
141,639.0,Hyundai,2014,Sedan,1,Other,2.0,264872,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11604
142,259.0,Chevrolet,2014,Hatchback,1,Hybrid,1.4,131893,4.0,Automatic,Front,4-5,Left wheel,Other,0,0,314
143,751.0,Other,2013,Jeep,1,Petrol,2.4,138958,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,5488
145,609.0,Toyota,2018,Sedan,1,Hybrid,2.5,35058,4.0,Automatic,Front,4-5,Left wheel,White,12,0,18817
148,639.0,Other,2014,Sedan,1,Diesel,2.0,82392,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,1568
150,585.0,Hyundai,2013,Sedan,1,Petrol,1.8,117920,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0,17876
151,891.0,Hyundai,2016,Sedan,1,Other,2.0,279787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11290
153,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,130478,4.0,Automatic,Front,4-5,Left wheel,White,12,0,862
154,781.0,Hyundai,2012,Universal,1,Diesel,2.5,166144,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,21395
155,891.0,Hyundai,2016,Sedan,1,Other,2.0,258706,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15681
156,475.0,Chevrolet,2012,Jeep,1,Hybrid,1.4,188419,4.0,Automatic,Front,4-5,Left wheel,Other,0,0,627
157,690.0,Toyota,2016,Hatchback,1,Petrol,1.5,25807,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,40070
160,640.0,Ssangyong,2013,Jeep,1,Diesel,2.0,137267,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,35927
163,1361.0,Kia,2009,Minivan,1,Diesel,2.9,84176,4.0,Automatic,Front,4-5,Left wheel,White,6,0,13172
164,707.0,Hyundai,2011,Other,1,Petrol,2.0,107005,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,15624
167,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,104997,4.0,Automatic,Front,4-5,Left wheel,White,4,0,20005
170,1077.0,Other,2019,Jeep,1,Petrol,2.0,11566,4.0,Automatic,4x4,4-5,Left wheel,Black,12,0,470
172,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,113700,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,43880
176,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,50255,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,44213
180,475.0,Other,2012,Hatchback,1,Petrol,1.4,164574,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,706
181,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,156992,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,3136
190,639.0,Other,2014,Universal,1,Diesel,2.0,113214,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,1490
196,751.0,Hyundai,2013,Sedan,1,Petrol,2.4,175827,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,706
199,642.0,Chevrolet,2012,Jeep,1,Other,2.0,132036,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14426
201,1172.0,Ford,2011,Jeep,1,Petrol,3.5,129177,4.0,Automatic,Front,4-5,Left wheel,White,4,0,45436
203,765.0,Hyundai,2015,Jeep,1,Diesel,2.0,185811,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,41281
208,645.0,Lexus,2011,Hatchback,1,Hybrid,1.8,122302,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,6586
210,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,120000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,30063
218,447.0,Honda,2013,Hatchback,1,Petrol,1.3,110467,4.0,Automatic,Front,4-5,Left wheel,White,4,0,5620
224,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,179918,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,26594
225,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,92200,4.0,Tiptronic,Front,4-5,Left wheel,Other,12,0,36065
227,862.0,Other,2011,Sedan,1,Petrol,2.5,216550,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,549
231,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,127842,4.0,Automatic,Front,4-5,Left wheel,White,4,0,17923
236,640.0,Other,2013,Sedan,1,Diesel,2.0,132310,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,7527
237,1249.0,Toyota,2017,Sedan,1,Petrol,2.5,60762,4.0,Automatic,Front,4-5,Left wheel,White,12,0,3450
238,836.0,Hyundai,2010,Jeep,1,Diesel,2.0,142264,4.0,Automatic,Front,4-5,Left wheel,White,4,0,22063
239,503.0,Honda,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,0,2901
240,585.0,Toyota,2013,Sedan,1,Petrol,1.8,227371,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,4704
242,642.0,Other,2012,Sedan,1,Diesel,2.0,203440,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,941
243,502.0,Honda,2013,Hatchback,1,Petrol,1.5,70000,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,16900
246,1017.0,Mercedes-Benz,2017,Jeep,1,Petrol,2.0,44995,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,42651
250,333.0,Ford,2014,Sedan,1,Hybrid,2.0,186048,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,862
251,831.0,Hyundai,2017,Sedan,1,Diesel,1.6,98000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,28909
254,639.0,Hyundai,2014,Sedan,1,Other,2.0,169024,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14426
257,779.0,Toyota,2013,Sedan,1,Petrol,2.5,156666,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,22580
258,259.0,Chevrolet,2014,Jeep,1,Hybrid,1.4,133195,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,862
259,247.0,Honda,2014,Hatchback,1,Hybrid,1.3,114950,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,7464
260,1091.0,Ford,2016,Sedan,1,Petrol,2.5,154850,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,1333
264,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
268,333.0,Ford,2014,Sedan,1,Hybrid,2.0,0,4.0,Automatic,Front,4-5,Left wheel,Silver,0,0,282
269,629.0,Nissan,2015,Jeep,1,Petrol,1.6,85944,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,392
270,765.0,Mercedes-Benz,2015,Sedan,1,Petrol,2.0,0,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,33556
271,831.0,Ssangyong,2017,Jeep,1,Diesel,1.6,73000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,39161
284,707.0,Hyundai,2011,Other,1,Petrol,2.0,117492,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,15241
285,382.0,Ford,2015,Sedan,1,Hybrid,2.0,88795,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,2587
286,1347.0,Hyundai,2008,Minivan,1,Diesel,2.5,56769,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15524
288,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,136861,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,4861
290,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,95665,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,18208
291,481.0,Hyundai,2017,Sedan,1,Hybrid,2.0,107387,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,549
295,1282.0,Chevrolet,2007,Jeep,1,Diesel,2.0,183923,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,4924
297,1091.0,Hyundai,2016,Universal,1,Diesel,2.5,97129,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,43576
302,738.0,Chevrolet,2017,Hatchback,1,Petrol,1.4,29094,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,18817
303,382.0,Ford,2015,Sedan,1,Hybrid,2.0,148709,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,4861
305,1055.0,Mercedes-Benz,2013,Sedan,1,Petrol,3.5,156800,4.0,Tiptronic,4x4,4-5,Left wheel,Black,12,0,37320
306,1017.0,Ford,2017,Jeep,1,Petrol,2.0,251430,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,706
307,456.0,Toyota,2015,Sedan,1,Hybrid,2.5,35000,4.0,Automatic,Front,4-5,Left wheel,Grey,10,0,39201
308,880.0,Hyundai,2018,Sedan,1,Other,1.6,35643,4.0,Automatic,Front,4-5,Left wheel,White,4,0,36426
311,900.0,Honda,2015,Jeep,1,Petrol,2.4,117158,4.0,Automatic,Front,4-5,Left wheel,White,12,0,12701
312,781.0,Other,2012,Jeep,1,Petrol,2.5,281659,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,8154
313,456.0,Toyota,2015,Sedan,1,Hybrid,2.5,63645,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,46414
314,798.0,Mercedes-Benz,2015,Jeep,1,Diesel,2.1,197338,4.0,Automatic,4x4,4-5,Left wheel,White,12,0,45160
317,639.0,Other,2014,Hatchback,1,Petrol,2.0,136634,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,1176
319,988.0,Toyota,2007,Hatchback,1,Hybrid,1.5,140000,4.0,Variator,Front,4-5,Left wheel,Other,12,0,5802
320,1277.0,Hyundai,2018,Sedan,1,Petrol,2.4,45494,4.0,Automatic,Front,4-5,Left wheel,White,12,0,2901
321,442.0,Toyota,2017,Sedan,1,Hybrid,1.8,47672,4.0,Automatic,Front,4-5,Left wheel,White,12,0,1882
326,1051.0,Other,2016,Jeep,1,Petrol,2.4,39000,4.0,Variator,Front,4-5,Left wheel,Silver,12,0,36065
329,790.0,Hyundai,2009,Hatchback,1,Petrol,1.6,140000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,7840
333,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,124000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,24198
334,502.0,Honda,2013,Hatchback,1,Petrol,1.5,34682,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,25365
335,777.0,Chevrolet,2014,Sedan,1,Petrol,2.5,310061,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,1725
340,1047.0,Hyundai,2007,Sedan,1,Diesel,1.6,54279,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,4704
341,645.0,Chevrolet,2011,Sedan,1,Petrol,1.8,135759,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,12720
342,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,120534,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,26372
344,528.0,Hyundai,2014,Sedan,1,Petrol,1.6,140000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,25591
349,1077.0,Toyota,2019,Jeep,1,Petrol,2.0,24339,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,627
350,790.0,Other,2009,Sedan,1,Petrol,1.6,130000,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,8097
355,862.0,Hyundai,2011,Universal,1,Diesel,2.5,237853,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,17054
357,765.0,Hyundai,2015,Sedan,1,Other,2.0,42000,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,9565
358,765.0,Chevrolet,2015,Sedan,1,Diesel,2.0,60618,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,24302
360,777.0,Nissan,2014,Sedan,1,Petrol,2.5,127918,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,1960
362,891.0,Hyundai,2016,Sedan,1,Other,2.0,280016,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15530
363,891.0,Hyundai,2016,Sedan,1,Other,2.0,270874,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11290
367,308.0,Lexus,2014,Hatchback,1,Hybrid,1.8,132563,4.0,Automatic,Front,4-5,Left wheel,Other,0,0,10349
372,862.0,Hyundai,2011,Minivan,1,Diesel,2.5,52686,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,18669
375,271.0,Honda,2014,Hatchback,1,Hybrid,1.5,76525,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,10660
376,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,80000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,37000
377,707.0,Ssangyong,2011,Jeep,1,Diesel,2.0,186412,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,18826
381,836.0,Ssangyong,2010,Jeep,1,Diesel,2.0,120000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,18826
382,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,142000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,22649
383,862.0,Hyundai,2011,Minivan,1,Diesel,2.5,42415,4.0,Automatic,Front,4-5,Left wheel,White,4,0,16590
385,966.0,Other,2009,Sedan,1,Petrol,2.0,19999,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,8624
395,1661.0,Ford,2013,Hatchback,1,Hybrid,2.0,120000,4.0,Tiptronic,Front,4-5,Right-hand drive,Silver,10,0,17876
401,862.0,Other,2011,Sedan,1,Petrol,2.5,156800,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,14113
403,640.0,Hyundai,2013,Sedan,1,Petrol,2.0,162558,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,12777
405,781.0,Toyota,2012,Sedan,1,Hybrid,2.5,83000,4.0,Variator,Front,4-5,Left wheel,Silver,10,0,23521
410,831.0,Hyundai,2011,Sedan,1,Hybrid,2.4,224349,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,3450
411,308.0,Toyota,2014,Hatchback,1,Hybrid,1.8,263392,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,1882
413,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,179381,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,11133
414,1017.0,Hyundai,2017,Jeep,1,Petrol,2.0,284251,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,94
417,1090.0,Chevrolet,2008,Jeep,1,Diesel,2.0,71486,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,7495
418,645.0,Lexus,2011,Hatchback,1,Hybrid,1.8,95590,4.0,Automatic,Front,4-5,Left wheel,White,12,0,4861
419,765.0,Hyundai,2015,Sedan,1,Other,2.0,72369,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,13485
421,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,147718,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,20005
426,586.0,Lexus,2012,Hatchback,1,Hybrid,1.8,192683,4.0,Automatic,Front,4-5,Left wheel,White,0,0,627
427,761.0,Chevrolet,2010,Sedan,1,Petrol,1.8,152293,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,12570
431,595.0,Toyota,2015,Hatchback,1,Petrol,1.5,137350,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,14009
433,891.0,Mercedes-Benz,2016,Jeep,1,Petrol,2.0,109555,4.0,Automatic,Front,4-5,Left wheel,White,0,0,8311
436,831.0,Hyundai,2017,Sedan,1,Other,1.6,32510,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,21730
438,707.0,Hyundai,2011,Other,1,Petrol,2.0,153651,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,19369
440,642.0,Hyundai,2012,Jeep,1,Diesel,2.0,160000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,25299
441,880.0,Chevrolet,2018,Sedan,1,Diesel,1.6,28515,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,7213
442,531.0,Chevrolet,2012,Hatchback,1,Petrol,1.6,94923,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6899
452,585.0,Hyundai,2013,Sedan,1,Petrol,1.8,64800,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0,17249
454,765.0,Mercedes-Benz,2015,Jeep,1,Petrol,2.0,69555,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,188
459,751.0,Kia,2013,Sedan,1,Hybrid,2.4,0,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,392
460,1079.0,Hyundai,2018,Sedan,1,Petrol,2.0,47294,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,627
461,247.0,Honda,2014,Hatchback,1,Hybrid,1.3,149970,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,2274
467,642.0,Chevrolet,2012,Jeep,1,Diesel,2.0,228570,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,13564
474,1249.0,Hyundai,2017,Universal,1,Diesel,2.5,137000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,36827
478,730.0,Ssangyong,2016,Jeep,1,Diesel,1.6,59272,4.0,Automatic,Front,4-5,Left wheel,White,4,0,40340
482,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,143166,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,18688
484,629.0,Hyundai,2015,Sedan,1,Petrol,1.6,68243,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,28830
488,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,26802,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,314
490,530.0,Hyundai,2013,Sedan,1,Petrol,1.6,31691,4.0,Automatic,Front,4-5,Left wheel,White,4,0,11917
497,641.0,Chevrolet,2012,Jeep,1,Diesel,2.0,79749,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11917
498,609.0,Toyota,2018,Sedan,1,Hybrid,2.5,35058,4.0,Automatic,Front,4-5,Left wheel,White,12,0,18817
499,749.0,Chevrolet,2014,Jeep,1,Petrol,2.4,251514,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,1568
501,891.0,Hyundai,2016,Sedan,1,Other,2.0,38206,4.0,Automatic,Front,4-5,Left wheel,White,4,0,13808
502,862.0,Other,2011,Jeep,1,Petrol,2.5,183728,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,392
505,836.0,Hyundai,2010,Jeep,1,Diesel,2.0,171344,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,22947
507,585.0,Lexus,2013,Hatchback,1,Hybrid,1.8,65989,4.0,Automatic,Front,4-5,Left wheel,Silver,0,0,7840
509,777.0,Toyota,2014,Sedan,1,Petrol,2.5,125000,4.0,Tiptronic,Front,4-5,Left wheel,Grey,12,0,25089
512,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,109798,4.0,Automatic,Front,4-5,Left wheel,White,12,0,5488
518,642.0,Ssangyong,2012,Jeep,1,Diesel,2.0,135490,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,24415
520,353.0,Lexus,2015,Hatchback,1,Hybrid,1.8,115347,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,470
522,584.0,Hyundai,2014,Sedan,1,Petrol,1.8,107155,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,1725
523,584.0,Hyundai,2014,Sedan,1,Petrol,1.8,140082,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,549
524,781.0,Toyota,2012,Sedan,1,Hybrid,2.5,249422,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,314
528,502.0,Toyota,2013,Hatchback,1,Petrol,1.5,52500,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,21285
531,333.0,Ford,2014,Sedan,1,Hybrid,2.0,186048,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,862
535,877.0,Hyundai,2017,Jeep,1,Diesel,1.7,97880,4.0,Automatic,Front,4-5,Left wheel,White,4,0,35570
538,749.0,Hyundai,2014,Jeep,1,Petrol,2.4,128000,4.0,Tiptronic,4x4,4-5,Left wheel,Other,8,0,24148
539,585.0,Toyota,2013,Hatchback,1,Hybrid,1.8,105328,4.0,Automatic,Front,4-5,Left wheel,White,12,0,706
540,308.0,Toyota,2014,Sedan,1,Hybrid,1.8,160000,4.0,Automatic,Front,4-5,Left wheel,Black,10,0,22580
541,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,136861,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,4861
